,cell_name,id_24,id_25,id_26,id_27
0,143B,163,163,163,163
1,1A9,506,506,506,506
2,Oocyte,1758,1758,1758,1758
4,Jurkat,503,503,503,503
5,HepG2,726,726,726,726
6,HepG2 2.2.15,5553,5553,5553,5553
7,2008,388,388,388,388
8,2008/R,561,561,561,561
9,2008/S,389,389,389,389
10,P338,524,524,524,524
11,PBL,554,554,554,554
13,CCRF-CEM,635,635,635,635
14,HEL,468,468,468,468
15,1-87 tumor cell line,832,832,832,832
16,C3H 10T1/2,294,294,294,294
17,41M,621,621,621,621
18,41McisR,5599,5599,5599,5599
19,CHO,449,449,449,449
20,HL-60,649,649,649,649
21,A2780,478,478,478,478
22,A2780 ADR,5594,5594,5594,5594
23,3677 melanoma cell line,844,844,844,844
24,MC-38,700,700,700,700
25,B16,798,798,798,798
26,3EM 37,833,833,833,833
27,3LL cell line,847,847,847,847
28,3LLD122,971,971,971,971
29,M5076,516,516,516,516
30,NIH3T3,723,723,723,723
31,3T3-L1,620,620,620,620
32,3Y1 cell line,1118,1118,1118,1118
33,HeLa,308,308,308,308
34,HEK293,722,722,722,722
35,RBL-1,702,702,702,702
36,Cell line,1167,1167,1167,1167
37,CHO-K1,485,485,485,485
38,COS-7,643,643,643,643
39,L929,307,307,307,307
40,N1E-115,339,339,339,339
41,A9,625,625,625,625
42,NG108-15,433,433,433,433
43,C6,673,673,673,673
44,RBL-2H3,663,663,663,663
45,PMNL,424,424,424,424
46,RPMI-8226,741,741,741,741
47,BEL-7404 tumor cell line,993,993,993,993
48,786-0,391,391,391,391
49,V79,505,505,505,505
50,7800C1 cell line,1119,1119,1119,1119
51,Panel (56 tumour cell lines),390,390,390,390
52,5637,345,345,345,345
53,CV-1,407,407,407,407
54,NCI,1188,1188,1188,1188
55,Panel NCI-60 (60 carcinoma cell lines),542,542,542,542
56,6C3HED,850,850,850,850
57,A2780 cisR,481,481,481,481
58,PC-12,342,342,342,342
59,T-cell,574,574,574,574
60,A-375,455,455,455,455
61,A-427,797,797,797,797
62,Caco-2,495,495,495,495
63,A-431,500,500,500,500
64,CEM-SS,638,638,638,638
65,A549,646,646,646,646
66,A498,624,624,624,624
67,791T cell line,972,972,972,972
68,833K,854,854,854,854
69,8701-BC,705,705,705,705
70,Cancer cell lines,1015,1015,1015,1015
71,KB ,324,324,324,324
72,9L,392,392,392,392
73,A 172,622,622,622,622
74,A204,623,623,623,623
75,CCRF S-180,42,42,42,42
76,AA6,975,975,975,975
77,AA5,974,974,974,974
78,U-937,379,379,379,379
79,UV4,274,274,274,274
80,CHO-AA8,185,185,185,185
81,A10,164,164,164,164
82,A121,393,393,393,393
83,A2,1085,1085,1085,1085
84,A2058,404,404,404,404
85,A253 cell line,973,973,973,973
86,ABAE,416,416,416,416
87,AC755,1064,1064,1064,1064
88,ACH-2 cell line,978,978,978,978
89,T cell line,998,998,998,998
90,ACHN,626,626,626,626
91,ADDP cell line,979,979,979,979
92,ADJ/PC6,980,980,980,980
93,Hepatocyte,395,395,395,395
101,Erythrocyte,5555,5555,5555,5555
109,Pituitary gland cell,5593,5593,5593,5593
110,NCI-H69,717,717,717,717
111,MCF7,491,491,491,491
112,THP-1,559,559,559,559
113,ADR5000 cell line,981,981,981,981
114,AG06848 cell line,1100,1100,1100,1100
115,AG1523,563,563,563,563
116,AGS,456,456,456,456
117,HT-29,786,786,786,786
118,AH125 cell line,1065,1065,1065,1065
119,MOLT-4,537,537,537,537
120,Manca,140,140,140,140
121,OCI-AML2,1685,1685,1685,1685
122,AMML,984,984,984,984
123,ANN-1,166,166,166,166
124,AR-42J cell line,985,985,985,985
125,ARIP cell line,858,858,858,858
126,SW480,773,773,773,773
127,WiDr,671,671,671,671
128,Ishikawa,672,672,672,672
129,ATH-8 cell line,987,987,987,987
130,UACC-375,956,956,956,956
131,AZ-521 cell line,988,988,988,988
132,T47D,594,594,594,594
133,Sf9,1759,1759,1759,1759
134,Vero,496,496,496,496
135,Abelson 8.1,837,837,837,837
136,IMR-32,652,652,652,652
137,HL,371,371,371,371
138,RPMI-8866,1726,1726,1726,1726
139,Ramos,661,661,661,661
140,LM,511,511,511,511
141,Y-1,736,736,736,736
142,AtT20,169,169,169,169
143,L1210,691,691,691,691
144,B(EBV+),1138,1138,1138,1138
145,B-cell,688,688,688,688
146,B-95-8 cell line,990,990,990,990
147,Raji,660,660,660,660
148,WIL2,384,384,384,384
149,B-lymphoblastic leukemic cell line,861,861,861,861
150,B103 cell line,989,989,989,989
151,Anr4,167,167,167,167
152,HASMC,529,529,529,529
153,SC-3,229,229,229,229
154,COS-1,799,799,799,799
155,DU-145,408,408,408,408
156,PC-3,555,555,555,555
157,RG2,477,477,477,477
158,BT-20,784,784,784,784
159,BT-549,789,789,789,789
160,BXPC-3,631,631,631,631
161,Mast cell,427,427,427,427
163,B16-F10,779,779,779,779
164,BaF3,627,627,627,627
165,Beta-TC6,592,592,592,592
166,Balb/MK,64,64,64,64
167,BC,859,859,859,859
168,BC1 cell line,991,991,991,991
169,P388,549,549,549,549
170,BE,713,713,713,713
171,BE-NQ,689,689,689,689
172,BE-WT,1139,1139,1139,1139
173,Bel-7402,791,791,791,791
174,BG-1 cell line,860,860,860,860
175,BG-3,1073,1073,1073,1073
176,BGC-823,628,628,628,628
177,BHK-21,629,629,629,629
178,PRK,1174,1174,1174,1174
179,BJ,808,808,808,808
180,BALB/3T3,464,464,464,464
181,NCI-H1299,303,303,303,303
182,BeWo,170,170,170,170
183,EKVX ,616,616,616,616
184,BL13/0,1102,1102,1102,1102
185,Murine cell line,1123,1123,1123,1123
186,BRO melanoma cell line,1080,1080,1080,1080
187,BSC-1,171,171,171,171
188,BT-474,630,630,630,630
189,C8166,632,632,632,632
190,CA-755,1014,1014,1014,1014
191,Pyramidal neuron,5564,5564,5564,5564
192,CA46,346,346,346,346
193,CAKI-1,498,498,498,498
194,CD4+ve Th,414,414,414,414
195,Osteoclast-like,593,593,593,593
196,carcinoma cell line,1020,1020,1020,1020
197,Calu-1,405,405,405,405
198,Caov-3 cell line,1019,1019,1019,1019
199,CC-1,174,174,174,174
200,CC-B,1021,1021,1021,1021
201,CCD 19Lu,295,295,295,295
202,SV-T2,344,344,344,344
203,C13,1186,1186,1186,1186
204,C13*,1074,1074,1074,1074
205,C170,1103,1103,1103,1103
206,C180-13S,413,413,413,413
207,TRAMP-C1A,793,793,793,793
208,Colon 26,613,613,613,613
