,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
0,COC(=O)[C@@H](N)CO,,188,188,188,188,0
1,CCc1cc2c(Sc3nnc(N)s3)ncnc2s1,,236,236,236,236,1
2,CCc1cc2c(O)ncnc2s1,,238,238,238,238,2
3,CCc1cc2c(Cl)ncnc2s1,,265,265,265,265,3
4,CCc1cc2c(Sc3nnc(C)s3)ncnc2s1,,266,266,266,266,4
5,CCc1cc2c(Nc3nnc(C)s3)ncnc2s1,,267,267,267,267,5
6,Cc1ccc(Sc2cncc3sc(CO)cc23)cc1,,279,279,279,279,6
7,NC(=O)c1cc2c(Sc3ccccc3)cncc2s1,,284,284,284,284,7
8,NC(=O)c1cc2c(Cl)cncc2s1,,289,289,289,289,8
9,COC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,,294,294,294,294,9
10,CC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,,297,297,297,297,10
11,Cc1ccc(Sc2cncc3sc(C=O)cc23)cc1,,298,298,298,298,11
12,CCc1cc2c(Sc3ccc(C)cc3)cncc2s1,,301,301,301,301,12
13,CONC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,,302,302,302,302,13
14,CON(C)C(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,,303,303,303,303,14
15,NC(=O)c1cc2c(Sc3ccccn3)cncc2s1,,304,304,304,304,15
16,NC(=O)c1cc2c(Sc3ccc(Br)cc3)cncc2s1,,307,307,307,307,16
17,NC(=O)c1cc2c(Sc3ccc(Cl)cc3)cncc2s1,,309,309,309,309,17
18,Cc1ccc(Sc2cncc3sccc23)cc1,,327,327,327,327,18
19,CCc1cc2c(NCc3ccccc3)ncnc2s1,,406,406,406,406,19
20,CCc1cc2c(Sc3ccccn3)ncnc2s1,,407,407,407,407,20
21,CSc1ccc(CC(C)N)cc1,4-METHYLTHIOAMPHETAMINE,423,423,423,423,21
22,COc1cc(CC(C)N)c(OC)cc1I,,436,436,436,436,22
23,NCCc1c[nH]c2ccccc12,TRYPTAMINE,442,442,442,442,23
24,CCc1cc2c(Sc3ccc(C)cc3)ncnc2s1,,444,444,444,444,24
25,CCc1cc2c(SCc3ccccc3)ncnc2s1,,445,445,445,445,25
26,CC(N)Cc1ccccc1,AMPHETAMINE,543,543,543,543,26
27,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,,687,687,687,687,27
28,Cc1cc(O)nc2cc(N)ccc12,,689,689,689,689,28
29,Cc1cc(O)nc2cc(O)ccc12,,690,690,690,690,29
30,COCCc1ccc(OCC(O)CNC(C)C)cc1,METOPROLOL,789,789,789,789,30
31,COc1ccc(OC)c(C[C@@H](C)N)c1,,840,840,840,840,31
32,NS(=O)(=O)c1ccc(CCO)cc1,,942,942,942,942,32
33,NS(=O)(=O)c1ccc(CO)cc1,,951,951,951,951,33
34,CN(N=O)c1cc(O)ccc1O,DEPHOSTATIN,963,963,963,963,34
35,COC(=O)C1=CCCN(C)C1,ARECOLINE,1022,1022,522563,522563,35
36,COc1cc(CC(C)N)c(OC)cc1Br,BROLAMFETAMINE,1090,1090,1090,1090,36
37,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,TRIMETHOPRIM,1216,1216,854495,854495,37
38,CC(=O)Oc1ccccc1C(=O)O,ASPIRIN,1280,1280,1280,1280,38
39,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,,1312,1312,831053,831053,39
40,Cc1cccc2nc(N)nc(N)c12,,1321,1321,1321,1321,40
41,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BETAXOLOL,1354,1354,1354,1354,41
42,CN1CCCN=C1S,,1358,1358,1358,1358,42
43,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,1370,1370,1370,1370,43
44,NC(=O)c1ccccc1,BENZAMIDE,1371,1371,1371,1371,44
45,CN(CCCl)CCCl,MECHLORETHAMINE,1470,1470,1470,1470,45
46,Nc1nc(N)c2c(CCc3ccc4ccccc4c3)cccc2n1,,1485,1485,1485,1485,46
47,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,CIGLITAZONE,1529,1529,1529,1529,47
48,Nc1nc(O)c2ncn(CCCCCCCP(=O)(O)CP(=O)(O)O)c2n1,,1579,1579,1579,1579,48
49,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,BENZYLPENICILLIN,1615,1615,1615,1615,49
50,Nc1nc(O)c2ncn(CCCCCCP(=O)(O)CP(=O)(O)O)c2n1,,1659,1659,1659,1659,50
51,Nc1nc(O)c2ncn(CCCCCP(=O)(O)CP(=O)(O)O)c2n1,,1693,1693,1693,1693,51
52,Nc1nc(O)c2ncn(CCCCP(=O)(O)CP(=O)(O)O)c2n1,,1694,1694,1694,1694,52
53,COc1ccc2c(c1)c(CCN(C)C)cn2C(C)C,,1807,1807,1807,1807,53
54,COc1ccc2c(c1)c(CCN(C)C)cn2C,,1847,1847,1847,1847,54
55,C[S+]([O-])c1nc(O)c2c(Br)[nH]nc2n1,,1850,1850,1850,1850,55
56,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,PIRITREXIM,1915,1915,1915,1915,56
57,CSCC[C@H](NC=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,N-FORMYLMETHIONYL-LEUCYLPHENYLALANINE,1924,1924,1924,1924,57
58,COc1ccc2[nH]c(C)c(CCN(C)C)c2c1,,1925,1925,1925,1925,58
59,COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC,,1965,1965,1965,1965,59
60,COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,1973,1973,1973,1973,60
61,CCc1[nH]c2ccc(OC)cc2c1CCN(C)C,,1986,1986,1986,1986,61
62,CCCC(CCC)C(=O)[O-],VALPROATE SODIUM,1991,1991,1991,1377883,62
63,CC(C)NCC(O)c1ccc(O)c(O)c1,ISOPROTERENOL,1994,1994,1994,1994,63
64,Cc1[nH]c2ccc(O)cc2c1CCN,,2010,2010,2010,2010,64
65,COc1ccc2[nH]c(C)c(CCN)c2c1,,2023,2023,2023,2023,65
66,NC(=O)c1[nH]nc2nc(S)nc(O)c12,,2042,2042,2042,2042,66
67,COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1,,2093,2093,2093,2093,67
68,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,SULFAMERAZINE,2130,2130,2130,2130,68
69,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,THIOPENTAL,2166,2166,2166,2166,69
70,CC(C)(C)C1CCc2nc(N)nc(N)c2C1,,2187,2187,2187,2187,70
71,OC[C@H](O)[C@H]1CC[C@H](CO)O1,WHI-259,2204,2204,2204,2204,71
72,C[C@@H](O)[C@H]1CC[C@H](CO)O1,WHI-260,2205,2205,2205,2205,72
